case_ids	PSNR	SSIM
colon_212	38.07	0.9350
hepaticvessel_096	43.26	0.9773
hepaticvessel_213	41.57	0.9673
hepaticvessel_219	42.20	0.9755
hepaticvessel_240	38.01	0.9425
hepaticvessel_251	42.33	0.9750
hepaticvessel_255	40.36	0.9798
hepaticvessel_259	37.61	0.9412
hepaticvessel_275	42.29	0.9757
hepaticvessel_286	42.32	0.9748
hepaticvessel_287	42.32	0.9748
hepaticvessel_291	44.43	0.9829
hepaticvessel_299	42.40	0.9809
hepaticvessel_305	43.54	0.9799
hepaticvessel_307	43.33	0.9805
hepaticvessel_312	42.59	0.9772
hepaticvessel_323	42.79	0.9773
hepaticvessel_324	42.14	0.9790
hepaticvessel_330	42.19	0.9724
hepaticvessel_332	42.53	0.9767
hepaticvessel_334	38.67	0.9563
hepaticvessel_342	40.84	0.9675
hepaticvessel_348	43.55	0.9858
hepaticvessel_355	41.72	0.9782
hepaticvessel_374	44.18	0.9819
hepaticvessel_376	43.83	0.9768
hepaticvessel_383	43.56	0.9767
hepaticvessel_387	42.05	0.9726
hepaticvessel_390	42.92	0.9788
hepaticvessel_397	42.61	0.9750
hepaticvessel_400	43.55	0.9803
hepaticvessel_407	42.70	0.9840
hepaticvessel_409	40.85	0.9683
hepaticvessel_414	40.77	0.9700
hepaticvessel_416	43.07	0.9794
hepaticvessel_420	41.72	0.9753
hepaticvessel_424	44.70	0.9853
hepaticvessel_430	43.37	0.9799
hepaticvessel_445	42.87	0.9745
hepaticvessel_458	40.92	0.9652
liver_10	40.79	0.9632
liver_102	37.02	0.8994
liver_105	38.74	0.9432
liver_106	36.17	0.9363
liver_108	38.80	0.9557
liver_109	37.26	0.9429
liver_11	41.32	0.9612
liver_111	38.72	0.9500
liver_112	36.14	0.9428
liver_114	38.20	0.9514
liver_115	37.62	0.9524
liver_120	40.83	0.9695
liver_127	37.66	0.9393
liver_129	36.87	0.9033
liver_141	37.66	0.9422
liver_15	39.71	0.9588
liver_157	37.10	0.8947
liver_158	37.52	0.9204
liver_159	38.89	0.9311
liver_16	38.56	0.9426
liver_161	37.97	0.9459
liver_162	37.05	0.9389
liver_164	37.20	0.9318
liver_165	40.54	0.9696
liver_167	38.51	0.9440
liver_173	43.58	0.9812
liver_174	43.28	0.9853
liver_178	37.51	0.9404
liver_179	37.44	0.9392
liver_180	40.53	0.9583
liver_19	38.83	0.9322
liver_193	40.20	0.9566
liver_195	42.75	0.9705
liver_197	42.77	0.9691
liver_23	41.59	0.9748
liver_3	41.09	0.9643
liver_30	34.58	0.9369
liver_34	37.93	0.9556
liver_35	34.79	0.9269
liver_36	37.93	0.9433
liver_37	33.87	0.9082
liver_39	41.01	0.9701
liver_40	34.87	0.9082
liver_43	35.37	0.9046
liver_46	30.06	0.8503
liver_57	42.41	0.9729
liver_6	41.24	0.9637
liver_65	36.04	0.9313
liver_8	41.14	0.9622
liver_81	42.08	0.9710
liver_82	39.50	0.9590
liver_85	37.59	0.9087
liver_87	39.58	0.9552
liver_88	37.73	0.9508
liver_90	37.79	0.9466
liver_91	38.83	0.9469
liver_92	36.94	0.9386
pancreas_408	42.51	0.9766
pancreas_409	41.06	0.9616
pancreas_414	38.07	0.9554
case_avg	40.04	0.9564
