case_ids	PSNR	SSIM
colon_212	44.51	0.9578
hepaticvessel_096	49.04	0.9873
hepaticvessel_213	47.12	0.9798
hepaticvessel_219	48.24	0.9868
hepaticvessel_240	44.46	0.9618
hepaticvessel_251	48.05	0.9855
hepaticvessel_255	46.02	0.9885
hepaticvessel_259	43.94	0.9619
hepaticvessel_275	47.99	0.9865
hepaticvessel_286	48.40	0.9859
hepaticvessel_287	48.40	0.9859
hepaticvessel_291	50.85	0.9909
hepaticvessel_299	48.04	0.9900
hepaticvessel_305	49.36	0.9887
hepaticvessel_307	49.39	0.9897
hepaticvessel_312	48.56	0.9871
hepaticvessel_323	48.45	0.9869
hepaticvessel_324	47.73	0.9880
hepaticvessel_330	47.75	0.9832
hepaticvessel_332	48.05	0.9866
hepaticvessel_334	45.66	0.9716
hepaticvessel_342	46.53	0.9799
hepaticvessel_348	49.69	0.9927
hepaticvessel_355	47.35	0.9879
hepaticvessel_374	50.01	0.9901
hepaticvessel_376	49.84	0.9868
hepaticvessel_383	49.29	0.9863
hepaticvessel_387	47.83	0.9840
hepaticvessel_390	48.87	0.9879
hepaticvessel_397	48.48	0.9861
hepaticvessel_400	49.14	0.9891
hepaticvessel_407	50.03	0.9927
hepaticvessel_409	37.15	0.9493
hepaticvessel_414	46.33	0.9819
hepaticvessel_416	49.22	0.9887
hepaticvessel_420	47.29	0.9858
hepaticvessel_424	50.77	0.9925
hepaticvessel_430	48.87	0.9886
hepaticvessel_445	37.61	0.9413
hepaticvessel_458	47.65	0.9784
liver_102	42.56	0.9314
liver_105	44.62	0.9640
liver_106	43.23	0.9624
liver_108	45.71	0.9728
liver_109	44.05	0.9647
liver_10	51.12	0.9767
liver_111	45.46	0.9685
liver_112	43.69	0.9672
liver_114	45.09	0.9695
liver_115	44.54	0.9712
liver_11	50.85	0.9713
liver_120	46.37	0.9826
liver_127	43.61	0.9619
liver_129	42.42	0.9350
liver_141	48.10	0.9631
liver_157	42.62	0.9307
liver_158	43.29	0.9474
liver_159	44.48	0.9541
liver_161	44.18	0.9679
liver_162	43.13	0.9633
liver_164	43.16	0.9578
liver_165	46.31	0.9827
liver_167	41.91	0.9567
liver_16	45.66	0.9649
liver_173	48.85	0.9892
liver_174	48.22	0.9911
liver_178	43.70	0.9641
liver_179	43.82	0.9643
liver_180	47.10	0.9714
liver_193	47.23	0.9746
liver_195	47.87	0.9808
liver_197	47.88	0.9797
liver_19	45.19	0.9559
liver_23	48.66	0.9849
liver_30	44.20	0.9576
liver_34	48.25	0.9716
liver_35	45.74	0.9565
liver_36	48.10	0.9625
liver_37	44.55	0.9457
liver_39	51.35	0.9816
liver_3	51.11	0.9761
liver_40	45.51	0.9443
liver_43	45.27	0.9385
liver_46	40.46	0.8856
liver_57	49.17	0.9838
liver_65	42.58	0.9560
liver_6	51.50	0.9771
liver_81	48.79	0.9820
liver_82	46.52	0.9749
liver_85	42.92	0.9402
liver_87	46.08	0.9706
liver_88	44.74	0.9704
liver_8	51.23	0.9758
liver_90	44.62	0.9677
liver_91	45.33	0.9663
liver_92	43.96	0.9623
pancreas_408	48.41	0.9870
pancreas_409	46.92	0.9748
pancreas_414	44.69	0.9724
case_avg	46.55	0.9720
