case_ids	PSNR	SSIM
colon_212	41.19	0.9568
hepaticvessel_096	47.80	0.9867
hepaticvessel_213	45.84	0.9808
hepaticvessel_219	53.04	0.9895
hepaticvessel_240	42.04	0.9632
hepaticvessel_251	46.45	0.9853
hepaticvessel_255	48.23	0.9890
hepaticvessel_259	40.87	0.9582
hepaticvessel_275	47.01	0.9859
hepaticvessel_286	47.28	0.9853
hepaticvessel_287	47.28	0.9853
hepaticvessel_291	49.01	0.9899
hepaticvessel_299	47.04	0.9878
hepaticvessel_305	48.07	0.9884
hepaticvessel_307	48.12	0.9893
hepaticvessel_312	46.67	0.9855
hepaticvessel_323	48.59	0.9878
hepaticvessel_324	45.79	0.9847
hepaticvessel_330	46.12	0.9825
hepaticvessel_332	46.38	0.9847
hepaticvessel_334	44.49	0.9762
hepaticvessel_342	45.56	0.9804
hepaticvessel_348	48.61	0.9912
hepaticvessel_355	47.16	0.9871
hepaticvessel_374	48.02	0.9891
hepaticvessel_376	47.05	0.9858
hepaticvessel_383	48.32	0.9871
hepaticvessel_387	45.98	0.9828
hepaticvessel_390	51.69	0.9881
hepaticvessel_397	46.45	0.9842
hepaticvessel_400	47.50	0.9878
hepaticvessel_407	49.87	0.9927
hepaticvessel_409	45.94	0.9821
hepaticvessel_414	45.32	0.9812
hepaticvessel_416	48.76	0.9891
hepaticvessel_420	45.11	0.9843
hepaticvessel_424	49.41	0.9915
hepaticvessel_430	47.54	0.9869
hepaticvessel_445	46.84	0.9843
hepaticvessel_458	45.11	0.9785
liver_10	44.16	0.9747
liver_102	39.25	0.9261
liver_105	42.39	0.9613
liver_106	40.75	0.9619
liver_108	41.86	0.9697
liver_109	40.72	0.9620
liver_11	43.66	0.9710
liver_111	41.71	0.9657
liver_112	39.55	0.9621
liver_114	41.20	0.9665
liver_115	41.02	0.9683
liver_120	45.31	0.9821
liver_127	41.14	0.9593
liver_129	39.37	0.9312
liver_141	41.11	0.9598
liver_15	42.26	0.9682
liver_157	39.31	0.9224
liver_158	40.24	0.9450
liver_159	41.68	0.9520
liver_16	42.74	0.9648
liver_161	41.00	0.9614
liver_162	39.55	0.9580
liver_164	40.60	0.9535
liver_165	44.10	0.9792
liver_167	40.13	0.9511
liver_173	46.54	0.9860
liver_174	45.08	0.9872
liver_178	43.47	0.9681
liver_179	42.25	0.9645
liver_180	37.18	0.9646
liver_19	41.62	0.9527
liver_193	44.89	0.9758
liver_195	45.18	0.9793
liver_197	45.37	0.9787
liver_23	45.13	0.9827
liver_3	43.75	0.9742
liver_30	38.96	0.9546
liver_34	43.83	0.9729
liver_35	39.03	0.9513
liver_36	43.19	0.9672
liver_37	40.01	0.9469
liver_39	45.35	0.9803
liver_40	38.89	0.9377
liver_43	39.30	0.9372
liver_46	34.86	0.9004
liver_57	45.74	0.9821
liver_6	45.46	0.9781
liver_65	39.33	0.9541
liver_8	44.80	0.9759
liver_81	45.57	0.9812
liver_82	42.98	0.9729
liver_85	39.79	0.9321
liver_87	42.44	0.9685
liver_88	40.57	0.9663
liver_90	41.04	0.9652
liver_91	42.12	0.9650
liver_92	39.72	0.9569
pancreas_408	49.36	0.9893
pancreas_409	43.93	0.9735
pancreas_414	47.91	0.9763
case_avg	44.07	0.9713
