case_ids	PSNR	SSIM
colon_212	42.30	0.9416
hepaticvessel_096	46.74	0.9609
hepaticvessel_213	44.76	0.9560
hepaticvessel_219	46.06	0.9611
hepaticvessel_240	41.58	0.9173
hepaticvessel_251	45.47	0.9496
hepaticvessel_255	40.56	0.9567
hepaticvessel_259	41.56	0.9244
hepaticvessel_275	45.62	0.9554
hepaticvessel_286	46.18	0.9606
hepaticvessel_287	46.18	0.9606
hepaticvessel_291	48.39	0.9626
hepaticvessel_299	45.79	0.9617
hepaticvessel_305	46.77	0.9559
hepaticvessel_307	47.00	0.9609
hepaticvessel_312	46.17	0.9575
hepaticvessel_323	46.39	0.9618
hepaticvessel_324	45.66	0.9536
hepaticvessel_330	45.96	0.9606
hepaticvessel_332	45.83	0.9603
hepaticvessel_334	43.43	0.9427
hepaticvessel_342	44.52	0.9547
hepaticvessel_348	47.45	0.9624
hepaticvessel_355	45.44	0.9603
hepaticvessel_374	47.69	0.9615
hepaticvessel_376	47.08	0.9607
hepaticvessel_383	47.17	0.9637
hepaticvessel_387	45.70	0.9581
hepaticvessel_390	46.75	0.9650
hepaticvessel_397	46.26	0.9612
hepaticvessel_400	46.63	0.9588
hepaticvessel_407	47.49	0.9654
hepaticvessel_409	44.74	0.9517
hepaticvessel_414	44.41	0.9489
hepaticvessel_416	46.78	0.9615
hepaticvessel_420	45.20	0.9556
hepaticvessel_424	48.27	0.9622
hepaticvessel_430	46.89	0.9638
hepaticvessel_445	46.44	0.9606
hepaticvessel_458	44.96	0.9499
liver_102	41.23	0.9163
liver_105	43.09	0.9526
liver_106	40.96	0.9493
liver_108	43.60	0.9623
liver_109	41.97	0.9517
liver_10	46.15	0.9634
liver_111	43.36	0.9576
liver_112	40.21	0.9534
liver_114	42.81	0.9596
liver_115	42.56	0.9599
liver_11	46.60	0.9602
liver_120	44.89	0.9714
liver_127	42.23	0.9500
liver_129	40.73	0.9082
liver_141	42.74	0.9485
liver_157	41.27	0.9149
liver_158	41.91	0.9318
liver_159	42.99	0.9391
liver_15	45.29	0.9619
liver_161	42.65	0.9551
liver_162	41.79	0.9503
liver_164	41.78	0.9450
liver_165	44.93	0.9724
liver_167	41.03	0.9410
liver_16	43.46	0.9512
liver_173	47.49	0.9796
liver_174	46.72	0.9757
liver_178	41.77	0.9439
liver_179	42.00	0.9457
liver_180	45.15	0.9514
liver_193	44.87	0.9617
liver_195	46.07	0.9672
liver_197	46.09	0.9669
liver_19	43.41	0.9392
liver_23	46.53	0.9711
liver_30	37.72	0.9271
liver_34	42.91	0.9339
liver_35	39.58	0.9059
liver_36	42.78	0.9122
liver_37	38.32	0.8925
liver_39	46.51	0.9575
liver_3	46.43	0.9645
liver_40	38.72	0.8943
liver_43	38.79	0.8979
liver_46	35.83	0.8464
liver_57	46.95	0.9692
liver_65	41.20	0.9400
liver_6	46.00	0.9639
liver_81	46.49	0.9671
liver_82	44.60	0.9589
liver_85	41.64	0.9229
liver_87	43.00	0.9605
liver_88	42.62	0.9588
liver_8	45.97	0.9630
liver_90	42.64	0.9552
liver_91	43.11	0.9537
liver_92	41.87	0.9509
pancreas_408	46.37	0.9596
pancreas_409	45.40	0.9625
pancreas_414	40.27	0.9421
case_avg	44.14	0.9504
