case_ids	PSNR	SSIM
CT00000150.npy	35.65	0.9020
CT00000151.npy	37.43	0.9212
CT00000152.npy	36.49	0.8939
CT00000153.npy	36.71	0.9058
CT00000154.npy	36.44	0.9013
CT00000155.npy	36.29	0.9102
CT00000156.npy	37.71	0.9226
CT00000157.npy	37.36	0.9176
CT00000158.npy	36.66	0.8981
CT00000159.npy	34.92	0.8601
CT00000160.npy	35.69	0.8751
CT00000161.npy	36.60	0.9021
CT00000162.npy	35.46	0.8715
CT00000163.npy	36.29	0.9030
CT00000164.npy	35.58	0.8876
CT00000165.npy	35.59	0.8802
CT00000166.npy	39.67	0.9579
CT00000167.npy	39.15	0.9487
CT00000168.npy	36.57	0.9129
CT00000169.npy	36.42	0.9119
CT00000170.npy	38.54	0.9512
CT00000171.npy	38.12	0.9331
CT00000172.npy	39.18	0.9540
CT00000173.npy	39.59	0.9567
CT00000174.npy	40.89	0.9649
CT00000175.npy	39.11	0.9461
CT00000176.npy	38.68	0.9469
CT00000177.npy	38.73	0.9432
CT00000178.npy	35.54	0.8753
CT00000179.npy	36.98	0.9139
CT00000180.npy	38.37	0.9340
CT00000181.npy	36.79	0.9090
CT00000182.npy	37.63	0.9147
CT00000183.npy	34.81	0.8894
CT00000184.npy	37.27	0.8960
CT00000185.npy	35.55	0.8876
CT00000186.npy	36.46	0.9030
CT00000187.npy	35.69	0.8895
CT00000188.npy	36.43	0.8923
CT00000189.npy	36.82	0.9011
CT00000190.npy	36.72	0.9138
CT00000191.npy	39.21	0.9651
CT00000192.npy	36.44	0.9037
CT00000193.npy	37.02	0.9208
CT00000194.npy	36.61	0.9080
CT00000195.npy	35.95	0.8749
CT00000196.npy	37.43	0.9279
CT00000197.npy	37.30	0.9189
CT00000198.npy	37.47	0.9182
CT00000199.npy	37.23	0.9156
CT00000200.npy	36.98	0.9088
CT00000201.npy	36.97	0.9177
CT00000202.npy	36.03	0.8918
CT00000203.npy	37.20	0.9183
CT00000204.npy	37.62	0.9226
CT00000205.npy	37.07	0.9157
CT00000206.npy	36.79	0.9118
CT00000207.npy	36.08	0.8939
CT00000208.npy	36.23	0.9144
CT00000209.npy	35.86	0.8899
CT00000210.npy	34.94	0.8420
CT00000211.npy	36.55	0.9064
CT00000212.npy	36.73	0.9077
CT00000213.npy	35.88	0.8949
CT00000214.npy	37.83	0.9288
CT00000215.npy	36.28	0.8736
CT00000216.npy	36.81	0.9135
CT00000217.npy	38.67	0.9606
CT00000218.npy	36.70	0.9011
CT00000219.npy	38.26	0.9379
CT00000220.npy	37.21	0.9081
CT00000221.npy	38.97	0.9422
CT00000222.npy	37.38	0.9072
CT00000223.npy	37.92	0.9206
CT00000224.npy	38.87	0.9421
CT00000225.npy	38.66	0.9457
CT00000226.npy	36.45	0.8972
CT00000227.npy	37.55	0.9298
CT00000228.npy	38.93	0.9437
CT00000229.npy	39.39	0.9467
CT00000230.npy	39.21	0.9516
CT00000231.npy	38.69	0.9344
CT00000232.npy	38.85	0.9398
CT00000233.npy	37.55	0.9122
CT00000234.npy	38.81	0.9414
CT00000235.npy	37.20	0.9082
CT00000236.npy	39.90	0.9546
CT00000237.npy	39.58	0.9569
CT00000238.npy	37.71	0.9165
CT00000239.npy	39.59	0.9544
CT00000240.npy	39.25	0.9447
CT00000241.npy	37.76	0.9175
CT00000242.npy	38.90	0.9446
CT00000243.npy	38.29	0.9338
CT00000244.npy	39.32	0.9408
CT00000245.npy	38.41	0.9329
CT00000246.npy	39.06	0.9490
CT00000247.npy	37.91	0.9135
CT00000248.npy	38.84	0.9392
CT00000249.npy	36.61	0.8851
case_avg	37.44	0.9176
