case_ids	PSNR	SSIM
CT00000150	37.45	0.9177
CT00000151	39.11	0.9354
CT00000152	37.86	0.9088
CT00000153	38.44	0.9199
CT00000154	38.07	0.9159
CT00000155	37.97	0.9249
CT00000156	40.06	0.9430
CT00000157	39.58	0.9383
CT00000158	38.70	0.9218
CT00000159	36.64	0.8897
CT00000160	37.39	0.9008
CT00000161	38.64	0.9246
CT00000162	37.15	0.8979
CT00000163	38.24	0.9242
CT00000164	37.59	0.9123
CT00000165	37.42	0.9048
CT00000166	41.00	0.9639
CT00000167	40.51	0.9525
CT00000168	38.81	0.9358
CT00000169	38.77	0.9355
CT00000170	39.53	0.9555
CT00000171	39.33	0.9367
CT00000172	40.85	0.9603
CT00000173	41.06	0.9620
CT00000174	42.27	0.9703
CT00000175	40.24	0.9507
CT00000176	39.84	0.9511
CT00000177	39.93	0.9484
CT00000178	37.40	0.9018
CT00000179	39.11	0.9366
CT00000180	40.44	0.9516
CT00000181	38.63	0.9314
CT00000182	39.51	0.9351
CT00000183	36.30	0.9142
CT00000184	38.93	0.9113
CT00000185	37.69	0.9093
CT00000186	38.72	0.9264
CT00000187	37.78	0.9141
CT00000188	38.33	0.9169
CT00000189	38.56	0.9217
CT00000190	38.61	0.9275
CT00000191	41.68	0.9735
CT00000192	38.74	0.9283
CT00000193	38.81	0.9361
CT00000194	38.56	0.9317
CT00000195	37.66	0.9026
CT00000196	39.17	0.9418
CT00000197	39.11	0.9333
CT00000198	38.81	0.9321
CT00000199	38.86	0.9312
CT00000200	38.55	0.9220
CT00000201	38.53	0.9323
CT00000202	37.65	0.9078
CT00000203	38.94	0.9324
CT00000204	39.47	0.9362
CT00000205	38.82	0.9294
CT00000206	38.53	0.9248
CT00000207	37.98	0.9178
CT00000208	38.50	0.9361
CT00000209	37.96	0.9162
CT00000210	36.28	0.8707
CT00000211	38.74	0.9305
CT00000212	38.83	0.9303
CT00000213	38.10	0.9200
CT00000214	39.95	0.9459
CT00000215	37.66	0.8982
CT00000216	39.00	0.9339
CT00000217	39.52	0.9612
CT00000218	38.54	0.9224
CT00000219	40.60	0.9539
CT00000220	39.11	0.9291
CT00000221	41.45	0.9587
CT00000222	39.11	0.9267
CT00000223	39.96	0.9392
CT00000224	41.14	0.9577
CT00000225	41.11	0.9608
CT00000226	38.30	0.9195
CT00000227	39.80	0.9474
CT00000228	41.34	0.9593
CT00000229	41.91	0.9620
CT00000230	41.89	0.9661
CT00000231	40.67	0.9505
CT00000232	41.19	0.9565
CT00000233	39.48	0.9329
CT00000234	41.15	0.9579
CT00000235	39.10	0.9285
CT00000236	42.57	0.9691
CT00000237	42.69	0.9705
CT00000238	39.60	0.9354
CT00000239	42.36	0.9682
CT00000240	41.73	0.9606
CT00000241	39.58	0.9365
CT00000242	41.35	0.9607
CT00000243	40.64	0.9508
CT00000244	41.53	0.9567
CT00000245	40.70	0.9505
CT00000246	41.70	0.9636
CT00000247	39.69	0.9326
CT00000248	41.15	0.9549
CT00000249	38.13	0.9082
case_avg	39.36	0.9350
