case_ids	PSNR	SSIM
CT00000150.nii.gz	35.98	0.9029
CT00000151.nii.gz	37.34	0.9206
CT00000152.nii.gz	36.66	0.8956
CT00000153.nii.gz	36.98	0.9062
CT00000154.nii.gz	36.55	0.9006
CT00000155.nii.gz	36.53	0.9133
CT00000156.nii.gz	38.66	0.9326
CT00000157.nii.gz	38.11	0.9260
CT00000158.nii.gz	37.48	0.9114
CT00000159.nii.gz	35.19	0.8748
CT00000160.nii.gz	36.16	0.8870
CT00000161.nii.gz	37.42	0.9128
CT00000162.nii.gz	35.79	0.8831
CT00000163.nii.gz	37.18	0.9138
CT00000164.nii.gz	36.14	0.8978
CT00000165.nii.gz	36.15	0.8928
CT00000166.nii.gz	40.02	0.9586
CT00000167.nii.gz	39.61	0.9460
CT00000168.nii.gz	36.99	0.9198
CT00000169.nii.gz	37.09	0.9239
CT00000170.nii.gz	38.91	0.9491
CT00000171.nii.gz	38.55	0.9301
CT00000172.nii.gz	39.83	0.9542
CT00000173.nii.gz	39.76	0.9533
CT00000174.nii.gz	41.88	0.9650
CT00000175.nii.gz	39.60	0.9448
CT00000176.nii.gz	39.15	0.9450
CT00000177.nii.gz	39.04	0.9408
CT00000178.nii.gz	36.34	0.8903
CT00000179.nii.gz	37.58	0.9259
CT00000180.nii.gz	39.01	0.9414
CT00000181.nii.gz	37.07	0.9191
CT00000182.nii.gz	37.83	0.9210
CT00000183.nii.gz	35.17	0.9022
CT00000184.nii.gz	37.70	0.9209
CT00000185.nii.gz	37.60	0.9273
CT00000186.nii.gz	37.27	0.9141
CT00000187.nii.gz	36.59	0.9034
CT00000188.nii.gz	37.07	0.9054
CT00000189.nii.gz	37.34	0.9092
CT00000190.nii.gz	36.72	0.9110
CT00000191.nii.gz	40.07	0.9626
CT00000192.nii.gz	37.18	0.9168
CT00000193.nii.gz	37.05	0.9215
CT00000194.nii.gz	36.73	0.9174
CT00000195.nii.gz	36.63	0.8938
CT00000196.nii.gz	37.30	0.9275
CT00000197.nii.gz	37.52	0.9198
CT00000198.nii.gz	37.40	0.9193
CT00000199.nii.gz	37.36	0.9183
CT00000200.nii.gz	36.73	0.9048
CT00000201.nii.gz	36.87	0.9179
CT00000202.nii.gz	36.23	0.8941
CT00000203.nii.gz	37.37	0.9189
CT00000204.nii.gz	37.68	0.9207
CT00000205.nii.gz	37.44	0.9179
CT00000206.nii.gz	36.84	0.9099
CT00000207.nii.gz	37.09	0.9094
CT00000208.nii.gz	36.56	0.9206
CT00000209.nii.gz	36.71	0.9060
CT00000210.nii.gz	35.04	0.8530
CT00000211.nii.gz	37.21	0.9189
CT00000212.nii.gz	37.20	0.9176
CT00000213.nii.gz	36.46	0.9080
CT00000214.nii.gz	38.14	0.9325
CT00000215.nii.gz	36.70	0.8859
CT00000216.nii.gz	37.43	0.9213
CT00000217.nii.gz	39.89	0.9622
CT00000218.nii.gz	36.88	0.9071
CT00000219.nii.gz	38.59	0.9400
CT00000220.nii.gz	37.50	0.9151
CT00000221.nii.gz	39.58	0.9470
CT00000222.nii.gz	37.58	0.9117
CT00000223.nii.gz	38.33	0.9265
CT00000224.nii.gz	39.31	0.9450
CT00000225.nii.gz	39.17	0.9491
CT00000226.nii.gz	36.57	0.9034
CT00000227.nii.gz	37.95	0.9347
CT00000228.nii.gz	39.33	0.9475
CT00000229.nii.gz	40.08	0.9512
CT00000230.nii.gz	39.60	0.9542
CT00000231.nii.gz	38.76	0.9372
CT00000232.nii.gz	39.29	0.9445
CT00000233.nii.gz	37.87	0.9190
CT00000234.nii.gz	39.24	0.9451
CT00000235.nii.gz	37.45	0.9135
CT00000236.nii.gz	40.52	0.9585
CT00000237.nii.gz	40.71	0.9602
CT00000238.nii.gz	38.09	0.9228
CT00000239.nii.gz	40.52	0.9587
CT00000240.nii.gz	39.61	0.9478
CT00000241.nii.gz	38.13	0.9240
CT00000242.nii.gz	39.18	0.9480
CT00000243.nii.gz	38.86	0.9385
CT00000244.nii.gz	39.78	0.9454
CT00000245.nii.gz	38.89	0.9383
CT00000246.nii.gz	39.52	0.9510
CT00000247.nii.gz	38.07	0.9181
CT00000248.nii.gz	39.38	0.9435
CT00000249.nii.gz	36.75	0.8922
case_avg	37.88	0.9235
