case_ids	PSNR	SSIM
CT00000150	37.32	0.9164
CT00000151	38.78	0.9331
CT00000152	37.66	0.9055
CT00000153	38.23	0.9174
CT00000154	37.83	0.9131
CT00000155	37.72	0.9224
CT00000156	39.75	0.9404
CT00000157	39.34	0.9359
CT00000158	38.42	0.9178
CT00000159	36.41	0.8854
CT00000160	37.21	0.8970
CT00000161	38.38	0.9215
CT00000162	36.96	0.8943
CT00000163	37.95	0.9202
CT00000164	37.34	0.9093
CT00000165	37.18	0.9006
CT00000166	40.54	0.9626
CT00000167	40.17	0.9521
CT00000168	38.57	0.9332
CT00000169	38.44	0.9329
CT00000170	39.36	0.9548
CT00000171	39.13	0.9360
CT00000172	40.35	0.9592
CT00000173	40.60	0.9614
CT00000174	41.82	0.9688
CT00000175	40.06	0.9500
CT00000176	39.56	0.9502
CT00000177	39.64	0.9473
CT00000178	37.17	0.8975
CT00000179	38.79	0.9333
CT00000180	40.07	0.9489
CT00000181	38.40	0.9283
CT00000182	39.17	0.9331
CT00000183	36.01	0.9098
CT00000184	38.73	0.9122
CT00000185	37.52	0.9117
CT00000186	38.38	0.9225
CT00000187	37.42	0.9090
CT00000188	38.03	0.9126
CT00000189	38.33	0.9186
CT00000190	38.33	0.9255
CT00000191	40.94	0.9710
CT00000192	38.39	0.9246
CT00000193	38.60	0.9344
CT00000194	38.26	0.9287
CT00000195	37.35	0.8963
CT00000196	38.90	0.9400
CT00000197	38.89	0.9313
CT00000198	38.64	0.9298
CT00000199	38.66	0.9288
CT00000200	38.37	0.9205
CT00000201	38.29	0.9296
CT00000202	37.45	0.9047
CT00000203	38.66	0.9308
CT00000204	39.25	0.9343
CT00000205	38.60	0.9273
CT00000206	38.29	0.9233
CT00000207	37.68	0.9132
CT00000208	38.16	0.9335
CT00000209	37.62	0.9107
CT00000210	36.05	0.8656
CT00000211	38.44	0.9274
CT00000212	38.51	0.9270
CT00000213	37.78	0.9158
CT00000214	39.76	0.9446
CT00000215	37.40	0.8932
CT00000216	38.68	0.9310
CT00000217	39.52	0.9607
CT00000218	38.24	0.9193
CT00000219	40.22	0.9522
CT00000220	38.80	0.9264
CT00000221	41.10	0.9571
CT00000222	38.85	0.9241
CT00000223	39.60	0.9367
CT00000224	40.89	0.9563
CT00000225	40.74	0.9593
CT00000226	37.95	0.9163
CT00000227	39.47	0.9454
CT00000228	40.98	0.9582
CT00000229	41.55	0.9606
CT00000230	41.46	0.9648
CT00000231	40.33	0.9485
CT00000232	40.87	0.9552
CT00000233	39.09	0.9297
CT00000234	40.79	0.9564
CT00000235	38.79	0.9259
CT00000236	42.24	0.9680
CT00000237	42.11	0.9690
CT00000238	39.27	0.9323
CT00000239	41.87	0.9664
CT00000240	41.38	0.9592
CT00000241	39.30	0.9342
CT00000242	40.90	0.9592
CT00000243	40.21	0.9488
CT00000244	41.20	0.9551
CT00000245	40.36	0.9486
CT00000246	41.30	0.9625
CT00000247	39.38	0.9303
CT00000248	40.73	0.9530
CT00000249	37.83	0.9040
case_avg	39.06	0.9326
