case_ids	PSNR	SSIM
case_00003	42.19	0.9675
case_00014	41.06	0.9627
case_00022	40.04	0.9531
case_00033	41.95	0.9687
case_00053	39.35	0.9559
case_00063	39.99	0.9495
case_00067	43.57	0.9706
case_00078	41.87	0.9578
case_00091	41.61	0.9701
case_00123	40.91	0.9573
case_00142	41.06	0.9675
case_00156	39.65	0.9486
case_00157	39.80	0.9535
case_00191	37.94	0.9197
case_00202	39.37	0.9570
case_00253	43.02	0.9750
case_00254	41.38	0.9652
case_00263	39.56	0.9385
case_00264	40.11	0.9594
case_00268	41.82	0.9774
case_00273	40.84	0.9670
case_00281	37.10	0.9495
case_00288	41.96	0.9690
case_00295	40.95	0.9487
case_00299	40.04	0.9558
case_00479	41.09	0.9676
case_00505	42.87	0.9716
case_00514	40.95	0.9604
case_00515	41.02	0.9728
case_00525	40.09	0.9373
case_00528	41.98	0.9562
case_00538	41.38	0.9686
case_00544	41.72	0.9633
case_00555	42.13	0.9746
case_00583	40.33	0.9625
case_00588	43.23	0.9786
case_00589	38.14	0.9396
case_00591	39.35	0.9457
case_00608	40.60	0.9673
case_00617	43.48	0.9808
case_00632	43.73	0.9796
case_00635	39.38	0.9578
case_00638	37.39	0.9543
case_00641	37.01	0.8767
case_00644	42.34	0.9788
case_00662	41.95	0.9581
case_00665	41.87	0.9638
case_00674	41.60	0.9684
case_00684	42.90	0.9746
case_00694	39.98	0.9563
case_avg	40.87	0.9596
