case_ids	PSNR	SSIM
case_00003	41.97	0.9665
case_00014	41.05	0.9622
case_00022	39.79	0.9512
case_00033	41.65	0.9673
case_00053	39.30	0.9549
case_00063	39.81	0.9477
case_00067	43.45	0.9704
case_00078	41.73	0.9569
case_00091	41.46	0.9694
case_00123	40.76	0.9554
case_00142	40.83	0.9660
case_00156	39.47	0.9464
case_00157	39.65	0.9517
case_00191	37.77	0.9166
case_00202	39.19	0.9551
case_00253	42.97	0.9745
case_00254	41.15	0.9640
case_00263	39.38	0.9365
case_00264	39.99	0.9587
case_00268	41.82	0.9778
case_00273	40.66	0.9654
case_00281	36.96	0.9480
case_00288	41.67	0.9683
case_00295	40.84	0.9477
case_00299	39.87	0.9541
case_00479	41.01	0.9667
case_00505	42.64	0.9705
case_00514	40.67	0.9583
case_00515	40.86	0.9720
case_00525	39.98	0.9357
case_00528	41.87	0.9557
case_00538	41.24	0.9681
case_00544	41.64	0.9627
case_00555	41.87	0.9736
case_00583	40.32	0.9622
case_00588	43.17	0.9785
case_00589	38.11	0.9401
case_00591	39.26	0.9437
case_00608	40.46	0.9658
case_00617	43.56	0.9811
case_00632	43.67	0.9792
case_00635	39.28	0.9567
case_00638	37.21	0.9523
case_00641	36.84	0.8729
case_00644	42.40	0.9795
case_00662	41.85	0.9577
case_00665	41.77	0.9631
case_00674	41.41	0.9668
case_00684	42.93	0.9748
case_00694	39.90	0.9555
case_avg	40.74	0.9585
