case_ids	PSNR	SSIM
case_00003	42.83	0.9685
case_00014	42.18	0.9675
case_00022	40.93	0.9580
case_00033	42.89	0.9721
case_00053	40.44	0.9618
case_00063	40.80	0.9539
case_00067	44.34	0.9732
case_00078	42.37	0.9602
case_00091	42.73	0.9741
case_00123	41.74	0.9619
case_00142	41.81	0.9698
case_00156	40.46	0.9529
case_00157	40.71	0.9583
case_00191	38.87	0.9294
case_00202	40.53	0.9629
case_00253	44.26	0.9783
case_00254	42.28	0.9686
case_00263	40.12	0.9424
case_00264	41.11	0.9646
case_00268	43.14	0.9812
case_00273	41.91	0.9697
case_00281	37.92	0.9520
case_00288	42.85	0.9722
case_00295	41.31	0.9506
case_00299	41.01	0.9610
case_00479	42.35	0.9721
case_00505	43.72	0.9740
case_00514	41.69	0.9640
case_00515	42.07	0.9762
case_00525	40.75	0.9420
case_00528	42.56	0.9590
case_00538	42.43	0.9727
case_00544	42.52	0.9665
case_00555	43.41	0.9784
case_00583	41.61	0.9675
case_00588	44.38	0.9820
case_00589	39.06	0.9487
case_00591	40.18	0.9497
case_00608	41.70	0.9711
case_00617	44.16	0.9838
case_00632	44.92	0.9825
case_00635	40.50	0.9628
case_00638	38.88	0.9629
case_00641	38.00	0.8974
case_00644	42.94	0.9823
case_00662	42.64	0.9613
case_00665	42.78	0.9669
case_00674	42.79	0.9728
case_00684	43.98	0.9780
case_00694	40.73	0.9605
case_avg	41.81	0.9640
